worker_id,month,gross_earning,platform_fees,net_earning,currency,prev_month_net
WRK-000005,2025-08,1281.76,176.49,1105.27,EUR,1178.6
WRK-000005,2025-09,1505.94,207.36,1298.58,EUR,1105.27
WRK-000005,2025-10,1585.08,218.26,1366.82,EUR,1298.58
WRK-000005,2025-11,1504.2,207.12,1297.08,EUR,1366.82
WRK-000005,2025-12,1334.41,183.74,1150.67,EUR,1297.08
WRK-000005,2026-01,1434.65,197.55,1237.1,EUR,1150.67
WRK-000005,2026-02,1517.21,208.91,1308.3,EUR,1237.1
WRK-000006,2024-03,2505.39,213.38,2292.01,EUR,0.0
WRK-000006,2024-04,2306.54,196.45,2110.09,EUR,2292.01
WRK-000006,2024-05,2195.5,186.99,2008.51,EUR,2110.09
WRK-000006,2024-06,2475.58,210.85,2264.73,EUR,2008.51
WRK-000006,2024-07,2362.21,201.19,2161.02,EUR,2264.73
WRK-000006,2024-08,2217.85,188.9,2028.95,EUR,2161.02
WRK-000006,2024-09,2097.65,178.66,1918.99,EUR,2028.95
WRK-000006,2024-10,2554.08,217.53,2336.55,EUR,1918.99
WRK-000006,2024-11,2508.25,213.63,2294.62,EUR,2336.55
WRK-000006,2024-12,2406.61,204.97,2201.64,EUR,2294.62
WRK-000006,2025-01,2304.58,196.28,2108.3,EUR,2201.64
WRK-000006,2025-02,2383.8,203.03,2180.77,EUR,2108.3
WRK-000006,2025-03,2324.04,197.94,2126.1,EUR,2180.77
WRK-000006,2025-04,2498.38,212.79,2285.59,EUR,2126.1
WRK-000006,2025-05,2666.0,227.06,2438.94,EUR,2285.59
WRK-000006,2025-06,2610.25,222.32,2387.93,EUR,2438.94
WRK-000006,2025-07,2535.48,215.95,2319.53,EUR,2387.93
WRK-000006,2025-08,2506.78,213.5,2293.28,EUR,2319.53
WRK-000006,2025-09,2608.63,222.18,2386.45,EUR,2293.28
WRK-000006,2025-10,2413.94,205.6,2208.34,EUR,2386.45
WRK-000006,2025-11,2663.91,226.89,2437.02,EUR,2208.34
WRK-000006,2025-12,2564.09,218.38,2345.71,EUR,2437.02
WRK-000006,2026-01,2531.92,215.64,2316.28,EUR,2345.71
WRK-000006,2026-02,2311.46,196.87,2114.59,EUR,2316.28
WRK-000007,2024-09,1566.21,203.37,1362.84,EUR,0.0
WRK-000007,2024-10,1720.37,223.39,1496.98,EUR,1362.84
WRK-000007,2024-11,1675.86,217.61,1458.25,EUR,1496.98
WRK-000007,2024-12,1830.77,237.73,1593.04,EUR,1458.25
WRK-000007,2025-01,1600.2,207.79,1392.41,EUR,1593.04
WRK-000007,2025-02,1735.78,225.39,1510.39,EUR,1392.41
WRK-000007,2025-03,1876.53,243.67,1632.86,EUR,1510.39
WRK-000007,2025-04,1961.06,254.65,1706.41,EUR,1632.86
WRK-000007,2025-05,2017.09,261.92,1755.17,EUR,1706.41
WRK-000007,2025-06,1836.53,238.47,1598.06,EUR,1755.17
WRK-000007,2025-07,1910.43,248.07,1662.36,EUR,1598.06
WRK-000007,2025-08,1778.93,231.0,1547.93,EUR,1662.36
WRK-000007,2025-09,1886.96,245.02,1641.94,EUR,1547.93
WRK-000007,2025-10,1784.4,231.71,1552.69,EUR,1641.94
WRK-000007,2025-11,1857.72,241.23,1616.49,EUR,1552.69
WRK-000007,2025-12,1742.54,226.27,1516.27,EUR,1616.49
WRK-000007,2026-01,1762.4,228.85,1533.55,EUR,1516.27
WRK-000007,2026-02,1686.42,218.98,1467.44,EUR,1533.55
WRK-000008,2024-04,2492.59,308.84,2183.75,EUR,0.0
WRK-000008,2024-05,2542.32,315.01,2227.31,EUR,2183.75
WRK-000008,2024-06,2384.71,295.48,2089.23,EUR,2227.31
WRK-000008,2024-07,2478.98,307.16,2171.82,EUR,2089.23
WRK-000008,2024-08,2487.45,308.21,2179.24,EUR,2171.82
WRK-000008,2024-09,2570.2,318.46,2251.74,EUR,2179.24
WRK-000008,2024-10,2418.29,299.64,2118.65,EUR,2251.74
WRK-000008,2024-11,2467.19,305.7,2161.49,EUR,2118.65
WRK-000008,2024-12,2456.28,304.35,2151.93,EUR,2161.49
WRK-000008,2025-01,2532.95,313.85,2219.1,EUR,2151.93
WRK-000008,2025-02,2610.56,323.46,2287.1,EUR,2219.1
WRK-000008,2025-03,2573.4,318.86,2254.54,EUR,2287.1
WRK-000008,2025-04,2851.18,353.28,2497.9,EUR,2254.54
WRK-000008,2025-05,2551.01,316.08,2234.93,EUR,2497.9
WRK-000008,2025-06,2454.48,304.12,2150.36,EUR,2234.93
WRK-000008,2025-07,2413.17,299.0,2114.17,EUR,2150.36
WRK-000008,2025-08,2310.12,286.24,2023.88,EUR,2114.17
WRK-000008,2025-09,2522.26,312.52,2209.74,EUR,2023.88
WRK-000008,2025-10,2724.65,337.6,2387.05,EUR,2209.74
WRK-000008,2025-11,2402.43,297.67,2104.76,EUR,2387.05
WRK-000008,2025-12,2242.63,277.87,1964.76,EUR,2104.76
WRK-000008,2026-01,2553.81,316.43,2237.38,EUR,1964.76
WRK-000008,2026-02,2584.8,320.27,2264.53,EUR,2237.38
WRK-000009,2024-05,1430.28,153.16,1277.12,EUR,0.0
WRK-000009,2024-06,1298.71,139.07,1159.64,EUR,1277.12
WRK-000009,2024-07,1533.97,164.26,1369.71,EUR,1159.64
WRK-000009,2024-08,1501.01,160.73,1340.28,EUR,1369.71
WRK-000009,2024-09,1551.46,166.13,1385.33,EUR,1340.28
WRK-000009,2024-10,1557.55,166.79,1390.76,EUR,1385.33
WRK-000009,2024-11,1754.39,187.86,1566.53,EUR,1390.76
WRK-000009,2024-12,1835.12,196.51,1638.61,EUR,1566.53
WRK-000009,2025-01,1857.01,198.85,1658.16,EUR,1638.61
WRK-000009,2025-02,1763.99,188.89,1575.1,EUR,1658.16
WRK-000009,2025-03,1621.37,173.62,1447.75,EUR,1575.1
WRK-000009,2025-04,1520.3,162.8,1357.5,EUR,1447.75
WRK-000009,2025-05,1627.27,174.25,1453.02,EUR,1357.5
WRK-000009,2025-06,1436.95,153.87,1283.08,EUR,1453.02
WRK-000009,2025-07,1262.47,135.19,1127.28,EUR,1283.08
WRK-000009,2025-08,1189.4,127.36,1062.04,EUR,1127.28
WRK-000009,2025-09,935.28,100.15,835.13,EUR,1062.04
WRK-000009,2025-10,1029.57,110.25,919.32,EUR,835.13
WRK-000009,2025-11,1195.36,128.0,1067.36,EUR,919.32
WRK-000009,2025-12,1446.23,154.86,1291.37,EUR,1067.36
WRK-000009,2026-01,1641.41,175.76,1465.65,EUR,1291.37
WRK-000009,2026-02,1648.27,176.5,1471.77,EUR,1465.65
WRK-000010,2024-07,2413.21,293.03,2120.18,EUR,0.0
WRK-000010,2024-08,2372.98,288.14,2084.84,EUR,2120.18
WRK-000010,2024-09,2370.61,287.86,2082.75,EUR,2084.84
WRK-000010,2024-10,2264.68,274.99,1989.69,EUR,2082.75
WRK-000010,2024-11,2196.16,266.67,1929.49,EUR,1989.69
WRK-000010,2024-12,2182.32,264.99,1917.33,EUR,1929.49
WRK-000010,2025-01,2453.68,297.94,2155.74,EUR,1917.33
WRK-000010,2025-02,2648.1,321.55,2326.55,EUR,2155.74
WRK-000010,2025-03,2663.49,323.42,2340.07,EUR,2326.55
WRK-000010,2025-04,2822.03,342.67,2479.36,EUR,2340.07
WRK-000010,2025-05,2855.14,346.69,2508.45,EUR,2479.36
WRK-000010,2025-06,2787.13,338.43,2448.7,EUR,2508.45
WRK-000010,2025-07,2666.6,323.8,2342.8,EUR,2448.7
WRK-000010,2025-08,2684.14,325.93,2358.21,EUR,2342.8
WRK-000010,2025-09,2785.2,338.2,2447.0,EUR,2358.21
WRK-000010,2025-10,2733.03,331.86,2401.17,EUR,2447.0
WRK-000010,2025-11,2702.98,328.21,2374.77,EUR,2401.17
WRK-000010,2025-12,2787.12,338.43,2448.69,EUR,2374.77
WRK-000010,2026-01,2694.65,327.2,2367.45,EUR,2448.69
WRK-000010,2026-02,2659.38,322.92,2336.46,EUR,2367.45
WRK-000011,2024-04,2139.78,311.15,1828.63,EUR,0.0
WRK-000011,2024-05,2150.93,312.78,1838.15,EUR,1828.63
WRK-000011,2024-06,2068.08,300.73,1767.35,EUR,1838.15
WRK-000011,2024-07,1969.87,286.45,1683.42,EUR,1767.35
WRK-000011,2024-08,1984.92,288.64,1696.28,EUR,1683.42
WRK-000011,2024-09,2191.31,318.65,1872.66,EUR,1696.28
WRK-000011,2024-10,2140.16,311.21,1828.95,EUR,1872.66
WRK-000011,2024-11,2057.24,299.15,1758.09,EUR,1828.95
WRK-000011,2024-12,2342.94,340.7,2002.24,EUR,1758.09
WRK-000011,2025-01,2369.89,344.62,2025.27,EUR,2002.24
WRK-000011,2025-02,2400.63,349.09,2051.54,EUR,2025.27
WRK-000011,2025-03,2448.35,356.02,2092.33,EUR,2051.54
WRK-000011,2025-04,2414.41,351.09,2063.32,EUR,2092.33
WRK-000011,2025-05,2594.9,377.33,2217.57,EUR,2063.32
WRK-000011,2025-06,2445.68,355.64,2090.04,EUR,2217.57
WRK-000011,2025-07,2438.98,354.66,2084.32,EUR,2090.04
WRK-000011,2025-08,2341.48,340.48,2001.0,EUR,2084.32
WRK-000011,2025-09,2429.01,353.21,2075.8,EUR,2001.0
WRK-000011,2025-10,2341.61,340.5,2001.11,EUR,2075.8
WRK-000011,2025-11,2279.66,331.49,1948.17,EUR,2001.11
WRK-000011,2025-12,2302.11,334.76,1967.35,EUR,1948.17
WRK-000011,2026-01,2545.54,370.16,2175.38,EUR,1967.35
WRK-000011,2026-02,2687.5,390.8,2296.7,EUR,2175.38
WRK-000012,2024-05,1875.09,249.26,1625.83,EUR,0.0
WRK-000012,2024-06,1799.08,239.16,1559.92,EUR,1625.83
WRK-000012,2024-07,1741.4,231.49,1509.91,EUR,1559.92
WRK-000012,2024-08,1567.38,208.36,1359.02,EUR,1509.91
WRK-000012,2024-09,1534.28,203.96,1330.32,EUR,1359.02
WRK-000012,2024-10,1685.61,224.07,1461.54,EUR,1330.32
WRK-000012,2024-11,1619.4,215.27,1404.13,EUR,1461.54
WRK-000012,2024-12,1694.97,225.32,1469.65,EUR,1404.13
WRK-000012,2025-01,1856.79,246.83,1609.96,EUR,1469.65
WRK-000012,2025-02,2161.25,287.3,1873.95,EUR,1609.96
WRK-000012,2025-03,2068.3,274.94,1793.36,EUR,1873.95
WRK-000012,2025-04,1961.27,260.72,1700.55,EUR,1793.36
WRK-000012,2025-05,1810.34,240.65,1569.69,EUR,1700.55
WRK-000012,2025-06,1637.98,217.74,1420.24,EUR,1569.69
WRK-000012,2025-07,2038.17,270.94,1767.23,EUR,1420.24
WRK-000012,2025-08,1865.17,247.94,1617.23,EUR,1767.23
WRK-000012,2025-09,1888.74,251.08,1637.66,EUR,1617.23
WRK-000012,2025-10,1968.51,261.68,1706.83,EUR,1637.66
WRK-000012,2025-11,1816.64,241.49,1575.15,EUR,1706.83
WRK-000012,2025-12,1764.93,234.62,1530.31,EUR,1575.15
WRK-000012,2026-01,1675.51,222.73,1452.78,EUR,1530.31
WRK-000012,2026-02,1478.77,196.58,1282.19,EUR,1452.78
WRK-000013,2024-09,2087.18,311.65,1775.53,EUR,0.0
WRK-000013,2024-10,2262.94,337.89,1925.05,EUR,1775.53
WRK-000013,2024-11,2310.03,344.93,1965.1,EUR,1925.05
WRK-000013,2024-12,2102.29,313.91,1788.38,EUR,1965.1
WRK-000013,2025-01,2231.3,333.17,1898.13,EUR,1788.38
WRK-000013,2025-02,2039.46,304.52,1734.94,EUR,1898.13
WRK-000013,2025-03,2164.54,323.2,1841.34,EUR,1734.94
WRK-000013,2025-04,2223.04,331.94,1891.1,EUR,1841.34
WRK-000013,2025-05,2163.82,323.09,1840.73,EUR,1891.1
WRK-000013,2025-06,2151.39,321.24,1830.15,EUR,1840.73
WRK-000013,2025-07,2233.31,333.47,1899.84,EUR,1830.15
WRK-000013,2025-08,2225.07,332.24,1892.83,EUR,1899.84
WRK-000013,2025-09,2090.28,312.11,1778.17,EUR,1892.83
WRK-000013,2025-10,2128.14,317.77,1810.37,EUR,1778.17
WRK-000013,2025-11,2191.59,327.24,1864.35,EUR,1810.37
WRK-000013,2025-12,2054.65,306.79,1747.86,EUR,1864.35
WRK-000013,2026-01,2148.22,320.76,1827.46,EUR,1747.86
WRK-000013,2026-02,2141.79,319.8,1821.99,EUR,1827.46
WRK-000014,2024-06,2795.82,389.58,2406.24,EUR,0.0
WRK-000014,2024-07,2425.18,337.94,2087.24,EUR,2406.24
WRK-000014,2024-08,2637.26,367.49,2269.77,EUR,2087.24
WRK-000014,2024-09,2811.69,391.8,2419.89,EUR,2269.77
WRK-000014,2024-10,2777.06,386.97,2390.09,EUR,2419.89
WRK-000014,2024-11,2893.28,403.16,2490.12,EUR,2390.09
WRK-000014,2024-12,2632.74,366.86,2265.88,EUR,2490.12
WRK-000014,2025-01,2763.25,385.05,2378.2,EUR,2265.88
WRK-000014,2025-02,2443.0,340.42,2102.58,EUR,2378.2
WRK-000014,2025-03,2625.1,365.79,2259.31,EUR,2102.58
WRK-000014,2025-04,2396.51,333.94,2062.57,EUR,2259.31
WRK-000014,2025-05,2347.42,327.1,2020.32,EUR,2062.57
WRK-000014,2025-06,2884.53,401.95,2482.58,EUR,2020.32
WRK-000014,2025-07,2613.47,364.17,2249.3,EUR,2482.58
WRK-000014,2025-08,2589.56,360.84,2228.72,EUR,2249.3
WRK-000014,2025-09,2662.05,370.94,2291.11,EUR,2228.72
WRK-000014,2025-10,3043.99,424.17,2619.82,EUR,2291.11
WRK-000014,2025-11,2876.43,400.82,2475.61,EUR,2619.82
WRK-000014,2025-12,2954.37,411.68,2542.69,EUR,2475.61
WRK-000014,2026-01,2592.64,361.27,2231.37,EUR,2542.69
WRK-000014,2026-02,2733.37,380.88,2352.49,EUR,2231.37
WRK-000015,2024-05,2424.02,228.98,2195.04,EUR,0.0
WRK-000015,2024-06,2442.11,230.69,2211.42,EUR,2195.04
WRK-000015,2024-07,2480.63,234.33,2246.3,EUR,2211.42
WRK-000015,2024-08,2425.24,229.1,2196.14,EUR,2246.3
WRK-000015,2024-09,2503.26,236.47,2266.79,EUR,2196.14
WRK-000015,2024-10,2404.68,227.15,2177.53,EUR,2266.79
WRK-000015,2024-11,2402.44,226.94,2175.5,EUR,2177.53
WRK-000015,2024-12,2399.66,226.68,2172.98,EUR,2175.5
WRK-000015,2025-01,2341.97,221.23,2120.74,EUR,2172.98
WRK-000015,2025-02,2361.48,223.07,2138.41,EUR,2120.74
WRK-000015,2025-03,2598.29,245.44,2352.85,EUR,2138.41
WRK-000015,2025-04,2717.97,256.75,2461.22,EUR,2352.85
WRK-000015,2025-05,2635.7,248.98,2386.72,EUR,2461.22
WRK-000015,2025-06,2809.22,265.37,2543.85,EUR,2386.72
WRK-000015,2025-07,2862.94,270.44,2592.5,EUR,2543.85
WRK-000015,2025-08,2805.09,264.98,2540.11,EUR,2592.5
WRK-000015,2025-09,2492.17,235.42,2256.75,EUR,2540.11
WRK-000015,2025-10,2701.39,255.18,2446.21,EUR,2256.75
WRK-000015,2025-11,2634.69,248.88,2385.81,EUR,2446.21
WRK-000015,2025-12,2741.52,258.97,2482.55,EUR,2385.81
WRK-000015,2026-01,2820.78,266.46,2554.32,EUR,2482.55
WRK-000015,2026-02,2731.4,258.02,2473.38,EUR,2554.32
WRK-000016,2024-03,2388.0,280.73,2107.27,EUR,0.0
WRK-000016,2024-04,2208.06,259.58,1948.48,EUR,2107.27
WRK-000016,2024-05,2093.4,246.1,1847.3,EUR,1948.48
WRK-000016,2024-06,2030.0,238.65,1791.35,EUR,1847.3
WRK-000016,2024-07,2247.01,264.16,1982.85,EUR,1791.35
WRK-000016,2024-08,2300.95,270.5,2030.45,EUR,1982.85
WRK-000016,2024-09,2542.9,298.94,2243.96,EUR,2030.45
WRK-000016,2024-10,2257.77,265.42,1992.35,EUR,2243.96
WRK-000016,2024-11,2183.69,256.71,1926.98,EUR,1992.35
WRK-000016,2024-12,1958.48,230.24,1728.24,EUR,1926.98
WRK-000016,2025-01,1775.06,208.68,1566.38,EUR,1728.24
WRK-000016,2025-02,1859.2,218.57,1640.63,EUR,1566.38
WRK-000016,2025-03,1888.32,221.99,1666.33,EUR,1640.63
WRK-000016,2025-04,1879.48,220.95,1658.53,EUR,1666.33
WRK-000016,2025-05,1702.14,200.1,1502.04,EUR,1658.53
WRK-000016,2025-06,1869.42,219.77,1649.65,EUR,1502.04
WRK-000016,2025-07,1906.3,224.1,1682.2,EUR,1649.65
WRK-000016,2025-08,2134.03,250.88,1883.15,EUR,1682.2
WRK-000016,2025-09,2232.77,262.48,1970.29,EUR,1883.15
WRK-000016,2025-10,1989.56,233.89,1755.67,EUR,1970.29
WRK-000016,2025-11,2106.69,247.66,1859.03,EUR,1755.67
WRK-000016,2025-12,2022.14,237.72,1784.42,EUR,1859.03
WRK-000016,2026-01,2321.55,272.92,2048.63,EUR,1784.42
WRK-000016,2026-02,2269.24,266.77,2002.47,EUR,2048.63
WRK-000017,2024-03,1531.45,191.77,1339.68,EUR,0.0
WRK-000017,2024-04,1582.45,198.15,1384.3,EUR,1339.68
WRK-000017,2024-05,1527.53,191.28,1336.25,EUR,1384.3
WRK-000017,2024-06,1723.9,215.87,1508.03,EUR,1336.25
WRK-000017,2024-07,1454.54,182.14,1272.4,EUR,1508.03
WRK-000017,2024-08,1782.69,223.23,1559.46,EUR,1272.4
WRK-000017,2024-09,2004.92,251.05,1753.87,EUR,1559.46
WRK-000017,2024-10,2241.05,280.62,1960.43,EUR,1753.87
WRK-000017,2024-11,2174.51,272.29,1902.22,EUR,1960.43
WRK-000017,2024-12,1778.65,222.72,1555.93,EUR,1902.22
WRK-000017,2025-01,1843.81,230.88,1612.93,EUR,1555.93
WRK-000017,2025-02,1627.01,203.73,1423.28,EUR,1612.93
WRK-000017,2025-03,1638.1,205.12,1432.98,EUR,1423.28
WRK-000017,2025-04,1508.26,188.86,1319.4,EUR,1432.98
WRK-000017,2025-05,1619.98,202.85,1417.13,EUR,1319.4
WRK-000017,2025-06,1740.5,217.94,1522.56,EUR,1417.13
WRK-000017,2025-07,1647.32,206.28,1441.04,EUR,1522.56
WRK-000017,2025-08,1567.3,196.26,1371.04,EUR,1441.04
WRK-000017,2025-09,1628.74,203.95,1424.79,EUR,1371.04
WRK-000017,2025-10,1474.3,184.61,1289.69,EUR,1424.79
WRK-000017,2025-11,1388.75,173.9,1214.85,EUR,1289.69
WRK-000017,2025-12,1362.57,170.62,1191.95,EUR,1214.85
WRK-000017,2026-01,1307.91,163.78,1144.13,EUR,1191.95
WRK-000017,2026-02,1557.91,195.08,1362.83,EUR,1144.13
WRK-000018,2024-07,1808.66,251.02,1557.64,EUR,0.0
WRK-000018,2024-08,1859.62,258.1,1601.52,EUR,1557.64
WRK-000018,2024-09,1913.35,265.55,1647.8,EUR,1601.52
WRK-000018,2024-10,1859.22,258.04,1601.18,EUR,1647.8
WRK-000018,2024-11,1894.0,262.87,1631.13,EUR,1601.18
WRK-000018,2024-12,1854.62,257.4,1597.22,EUR,1631.13
WRK-000018,2025-01,1802.9,250.22,1552.68,EUR,1597.22
WRK-000018,2025-02,1846.01,256.21,1589.8,EUR,1552.68
WRK-000018,2025-03,1888.58,262.12,1626.46,EUR,1589.8
WRK-000018,2025-04,1932.86,268.26,1664.6,EUR,1626.46
WRK-000018,2025-05,1987.94,275.91,1712.03,EUR,1664.6
WRK-000018,2025-06,2088.71,289.89,1798.82,EUR,1712.03
WRK-000018,2025-07,2117.38,293.87,1823.51,EUR,1798.82
WRK-000018,2025-08,2059.48,285.83,1773.65,EUR,1823.51
WRK-000018,2025-09,2103.2,291.9,1811.3,EUR,1773.65
WRK-000018,2025-10,1987.67,275.87,1711.8,EUR,1811.3
WRK-000018,2025-11,2007.71,278.65,1729.06,EUR,1711.8
WRK-000018,2025-12,2084.44,289.3,1795.14,EUR,1729.06
WRK-000018,2026-01,2118.39,294.01,1824.38,EUR,1795.14
WRK-000018,2026-02,2154.95,299.09,1855.86,EUR,1824.38
WRK-000019,2024-09,1977.78,276.88,1700.9,EUR,0.0
WRK-000019,2024-10,1802.28,252.32,1549.96,EUR,1700.9
WRK-000019,2024-11,1648.07,230.73,1417.34,EUR,1549.96
WRK-000019,2024-12,1677.25,234.81,1442.44,EUR,1417.34
WRK-000019,2025-01,1842.41,257.93,1584.48,EUR,1442.44
WRK-000019,2025-02,2049.81,286.97,1762.84,EUR,1584.48
WRK-000019,2025-03,2015.95,282.23,1733.72,EUR,1762.84
WRK-000019,2025-04,1972.66,276.17,1696.49,EUR,1733.72
WRK-000019,2025-05,1929.72,270.16,1659.56,EUR,1696.49
WRK-000019,2025-06,2071.22,289.97,1781.25,EUR,1659.56
WRK-000019,2025-07,1932.78,270.58,1662.2,EUR,1781.25
WRK-000019,2025-08,1921.73,269.04,1652.69,EUR,1662.2
WRK-000019,2025-09,1922.98,269.21,1653.77,EUR,1652.69
WRK-000019,2025-10,1935.66,270.99,1664.67,EUR,1653.77
WRK-000019,2025-11,2174.55,304.43,1870.12,EUR,1664.67
WRK-000019,2025-12,2017.57,282.46,1735.11,EUR,1870.12
WRK-000019,2026-01,2322.57,325.15,1997.42,EUR,1735.11
WRK-000019,2026-02,2161.82,302.65,1859.17,EUR,1997.42
WRK-000020,2024-04,2409.56,235.91,2173.65,EUR,0.0
