tx_id,stripe_payment_intent,worker_id,date,amount_sent,currency_sent,amount_received,currency_received,exchange_rate,destination_country,status
FX-000032,pi_a68b20da723a5f0275712554,WRK-000004,2024-11-04,130.18,TRY,3.49,EUR,37.2913,DE,completed
FX-000033,pi_e1cb39bf3212bfcffab8442b,WRK-000004,2024-11-23,245.17,TRY,6.19,EUR,39.6307,DE,completed
FX-000034,pi_2c085c8914fb8cd1fa7a5eca,WRK-000004,2024-12-06,269.62,TRY,7.27,EUR,37.0718,DE,completed
FX-000035,pi_42e3f8413f4a91a9929e5e0d,WRK-000004,2025-02-03,133.85,TRY,3.43,EUR,39.0446,DE,completed
FX-000036,pi_6a7a4f7ca41077395bbdf258,WRK-000004,2025-03-11,170.75,TRY,4.61,EUR,37.0467,DE,completed
FX-000037,pi_20fd6fedeb32f7e716739049,WRK-000004,2025-03-27,248.29,TRY,6.47,EUR,38.3868,DE,completed
FX-000038,pi_bc5693818c4fa1f6c5fc3880,WRK-000004,2025-05-05,259.44,TRY,6.54,EUR,39.6703,DE,completed
FX-000039,pi_2e2e569d98879705164eda94,WRK-000004,2025-05-21,272.47,TRY,6.89,EUR,39.5632,DE,completed
FX-000040,pi_b92a9d2a0f1052b6cedb0235,WRK-000004,2025-05-22,215.23,TRY,5.66,EUR,38.0258,DE,completed
FX-000041,pi_8adac47f44ffcbb778eb498e,WRK-000004,2025-06-13,279.13,TRY,6.93,EUR,40.2502,DE,completed
FX-000042,pi_b574738eb2993a8a06b1c08e,WRK-000004,2025-07-14,248.03,TRY,6.21,EUR,39.9655,DE,completed
FX-000043,pi_440ca3bd0e6de0dc2bd4049e,WRK-000004,2025-08-11,178.8,TRY,4.43,EUR,40.383,DE,completed
FX-000044,pi_7fd7312742bc9c2ded81a225,WRK-000004,2025-08-08,126.59,TRY,3.33,EUR,38.0518,DE,completed
FX-000045,pi_99453a72aeecbaf53f77f5be,WRK-000004,2025-09-25,226.34,TRY,5.78,EUR,39.1318,DE,completed
FX-000046,pi_d17b19088925813918c78707,WRK-000004,2025-10-26,183.23,TRY,5.0,EUR,36.6588,DE,completed
FX-000047,pi_0316b80ef7422abf5e7e61fd,WRK-000004,2025-10-05,248.15,TRY,6.55,EUR,37.9139,DE,completed
FX-000048,pi_b3004a88d354eb1c6ce03109,WRK-000004,2025-11-23,289.25,TRY,7.71,EUR,37.5172,DE,pending
FX-000049,pi_cc2f3e99cd3ef86489b2a805,WRK-000004,2025-12-21,251.5,TRY,6.35,EUR,39.6003,DE,completed
FX-000050,pi_6c7d4bce8f8233aed1b34a9d,WRK-000004,2026-01-07,276.55,TRY,7.12,EUR,38.8372,DE,completed
FX-000051,pi_e4e33bbcebb63547a45e7cbc,WRK-000004,2026-02-11,297.17,TRY,7.82,EUR,38.0022,DE,completed
FX-000052,pi_a19cb12bab51045422786051,WRK-000005,2024-05-20,137.63,EUR,5491.48,TRY,39.9003,TR,failed
FX-000053,pi_6cb8f38a2442244c5fb79720,WRK-000005,2024-05-13,94.74,EUR,3691.33,TRY,38.9627,TR,completed
FX-000054,pi_ddf25f35ff4b7936d61998a8,WRK-000005,2024-06-24,107.01,EUR,4205.73,TRY,39.3022,TR,completed
FX-000055,pi_dc67a3abc1f768eb8c5e8a1c,WRK-000005,2024-07-22,126.27,EUR,4699.19,TRY,37.2154,TR,completed
FX-000056,pi_9aaf5c113b8b357ab2f74e1d,WRK-000005,2024-07-24,76.66,EUR,2895.89,TRY,37.7758,TR,completed
FX-000057,pi_77b54c1daa2f3228f362a609,WRK-000005,2024-08-07,105.87,EUR,4047.28,TRY,38.2288,TR,failed
FX-000058,pi_bc9c8531a7f5661572ace9a5,WRK-000005,2024-09-08,92.19,EUR,3436.82,TRY,37.2797,TR,completed
FX-000059,pi_262abaf872570502df87a6d7,WRK-000005,2024-10-03,116.85,EUR,4631.83,TRY,39.6391,TR,completed
FX-000060,pi_4c9c78948f8cc736ba3d04d1,WRK-000005,2024-11-28,157.5,EUR,6230.89,TRY,39.5612,TR,completed
FX-000061,pi_5ba223305485b44dfa1fcefd,WRK-000005,2024-12-05,129.75,EUR,4811.9,TRY,37.0859,TR,completed
FX-000062,pi_53d62aa61cc6bbe779dd1fab,WRK-000005,2024-12-28,69.23,EUR,2674.53,TRY,38.6325,TR,completed
FX-000063,pi_4d59975a01c71d70f3b2a2e4,WRK-000005,2025-01-21,97.41,EUR,3593.68,TRY,36.8923,TR,completed
FX-000064,pi_abc61131987051db731c1546,WRK-000005,2025-02-27,134.66,EUR,4994.22,TRY,37.0876,TR,completed
FX-000065,pi_0a7ba26ad11c96f5241899cb,WRK-000005,2025-03-28,143.57,EUR,5735.18,TRY,39.9469,TR,completed
FX-000066,pi_6acc363a1e0556d6827f1903,WRK-000005,2025-04-02,153.2,EUR,5838.02,TRY,38.1072,TR,completed
FX-000067,pi_66a8211ef259caa46f33e190,WRK-000005,2025-05-22,133.57,EUR,5266.2,TRY,39.4265,TR,completed
FX-000068,pi_bb2f8cb22c4ec0c41b917579,WRK-000005,2025-05-12,78.15,EUR,3091.01,TRY,39.5523,TR,completed
FX-000069,pi_b0d005e2f0cba33e5d91a038,WRK-000005,2025-06-02,153.71,EUR,5662.74,TRY,36.8404,TR,completed
FX-000070,pi_5803949797c3ec30635def0a,WRK-000005,2025-07-28,133.23,EUR,5030.62,TRY,37.7589,TR,completed
FX-000071,pi_f6ff2403d6e7b98a690a24de,WRK-000005,2025-07-13,129.69,EUR,5110.58,TRY,39.4061,TR,completed
FX-000072,pi_3c922768f34412adb0d51358,WRK-000005,2025-08-22,91.57,EUR,3638.29,TRY,39.7323,TR,completed
FX-000073,pi_11c10c336af19e1f3ac1dc1f,WRK-000005,2025-11-02,79.16,EUR,3070.18,TRY,38.7845,TR,completed
FX-000074,pi_60a2324e0934680423e8accf,WRK-000005,2025-11-26,130.89,EUR,5029.03,TRY,38.4218,TR,completed
FX-000075,pi_54090c4c75932338cbcf9f6e,WRK-000005,2025-12-28,79.7,EUR,2987.61,TRY,37.4857,TR,completed
FX-000076,pi_b59b592fdcf820090759c52c,WRK-000005,2025-12-28,93.92,EUR,3443.05,TRY,36.6594,TR,completed
FX-000077,pi_df5f61422fcfa2fbec3924b2,WRK-000005,2026-02-24,63.4,EUR,2490.21,TRY,39.2777,TR,completed
FX-000078,pi_dc925c9a175155afdab503b5,WRK-000005,2026-02-26,73.47,EUR,2687.53,TRY,36.5799,TR,completed
FX-000079,pi_eb07455c4ddaf34bc5b917e6,WRK-000006,2024-07-16,241.57,TRY,6.05,EUR,39.9137,DE,completed
FX-000080,pi_482de03dd37eb4d8a10592d9,WRK-000006,2024-08-12,171.24,TRY,4.3,EUR,39.8,DE,completed
FX-000081,pi_0dc3333a8dfa722c39fbb4ed,WRK-000006,2024-10-15,155.61,TRY,4.06,EUR,38.3718,DE,completed
FX-000082,pi_8ad5a9411fad4be42cecc9aa,WRK-000006,2024-12-24,117.24,TRY,3.05,EUR,38.4899,DE,completed
FX-000083,pi_9fd5baa7f542a847bb8efea3,WRK-000006,2025-02-08,238.98,TRY,6.33,EUR,37.7573,DE,completed
FX-000084,pi_544d7d9f1e8d640d2369e75b,WRK-000006,2025-02-25,126.61,TRY,3.34,EUR,37.8556,DE,completed
FX-000085,pi_73c92cc2666708bfec800b3e,WRK-000006,2025-03-10,134.76,TRY,3.54,EUR,38.0517,DE,completed
FX-000086,pi_44b95ef5e53fe63b2b925a0e,WRK-000006,2025-04-09,243.56,TRY,6.25,EUR,38.9741,DE,completed
FX-000087,pi_01d01714b3a06189b6e894c7,WRK-000006,2025-04-20,146.76,TRY,3.9,EUR,37.5875,DE,completed
FX-000088,pi_4073e50aeda218b143f47120,WRK-000006,2025-05-10,173.94,TRY,4.44,EUR,39.1806,DE,completed
FX-000089,pi_1de02a5ef4b55167db76e22b,WRK-000006,2025-05-28,139.92,TRY,3.67,EUR,38.1767,DE,completed
FX-000090,pi_650adf2e16045bac99fa58b1,WRK-000006,2025-07-22,236.01,TRY,6.14,EUR,38.4304,DE,completed
FX-000091,pi_de90e8772c554886d179175f,WRK-000006,2025-08-24,223.6,TRY,6.05,EUR,36.9702,DE,completed
FX-000092,pi_199483af5037897ab1c35df4,WRK-000006,2025-09-17,176.26,TRY,4.77,EUR,36.9843,DE,completed
FX-000093,pi_b6431d3d35c0aa1e798f0b86,WRK-000006,2025-10-19,194.73,TRY,5.05,EUR,38.5321,DE,completed
FX-000094,pi_29b269e86fec4ff726bb4bdb,WRK-000006,2025-10-18,220.08,TRY,5.89,EUR,37.3484,DE,completed
FX-000095,pi_afaf8b51579a6bd4dc802a3c,WRK-000006,2025-11-06,279.52,TRY,7.13,EUR,39.2061,DE,completed
FX-000096,pi_38579a83a68cbb066caf0b3d,WRK-000006,2025-12-28,260.31,TRY,6.55,EUR,39.7704,DE,completed
FX-000097,pi_bac89cf42a2286682945b225,WRK-000006,2025-12-02,243.97,TRY,6.26,EUR,38.9827,DE,completed
FX-000098,pi_81b8f8c2865ea54f978ca153,WRK-000006,2026-01-21,216.88,TRY,5.57,EUR,38.9664,DE,completed
FX-000099,pi_a5ef684ed5c70e38f2f801ac,WRK-000006,2026-01-28,229.02,TRY,5.76,EUR,39.7923,DE,completed
FX-000100,pi_5083cc69bcb1273d4e63bc91,WRK-000008,2024-09-01,155.41,TRY,4.16,EUR,37.3659,DE,completed
FX-000101,pi_694899f6388287f9c62d13cf,WRK-000008,2024-10-04,131.46,TRY,3.45,EUR,38.1172,DE,completed
FX-000102,pi_b2f012e613106f98b9fda73a,WRK-000008,2024-11-26,176.76,TRY,4.74,EUR,37.3248,DE,completed
FX-000103,pi_8b9a5af146a630be8b895d3f,WRK-000008,2024-11-15,238.16,TRY,6.14,EUR,38.7884,DE,completed
FX-000104,pi_14fcfed9bf9ccf779011afa3,WRK-000008,2024-12-11,160.99,TRY,4.24,EUR,37.9344,DE,completed
FX-000105,pi_46b5825392be3b3343dd5c11,WRK-000008,2025-01-22,172.96,TRY,4.73,EUR,36.6005,DE,completed
FX-000106,pi_ee942c86c286f05dc71850a6,WRK-000008,2025-04-04,148.01,TRY,3.8,EUR,38.9342,DE,completed
FX-000107,pi_79573b5d42293143662f2c27,WRK-000008,2025-05-28,193.55,TRY,5.01,EUR,38.6308,DE,completed
FX-000108,pi_d01234d1b458c565a99a8f45,WRK-000008,2025-06-17,172.19,TRY,4.37,EUR,39.4106,DE,completed
FX-000109,pi_a22c5a9d123544a47d59f620,WRK-000008,2025-07-24,134.46,TRY,3.58,EUR,37.5438,DE,completed
FX-000110,pi_61e70c8f191e63b728205ed7,WRK-000008,2025-08-28,180.11,TRY,4.79,EUR,37.6238,DE,completed
FX-000111,pi_9aa98a458c75440dd570ef70,WRK-000008,2025-10-14,218.51,TRY,5.62,EUR,38.8735,DE,completed
FX-000112,pi_e63bad31a8c9b4a84312177b,WRK-000008,2025-11-16,127.48,TRY,3.48,EUR,36.6497,DE,pending
FX-000113,pi_14bb32754cf7c5df0c173ddd,WRK-000008,2025-12-04,244.86,TRY,6.23,EUR,39.3265,DE,completed
FX-000114,pi_3b1a36fe2bb817450af360c9,WRK-000008,2026-02-13,217.19,TRY,5.93,EUR,36.6094,DE,pending
FX-000115,pi_c7951219efa0abc23fccc73b,WRK-000008,2026-02-12,207.53,TRY,5.53,EUR,37.5402,DE,pending
FX-000116,pi_b8879857d9d287d87c8be959,WRK-000008,2026-02-11,207.03,TRY,5.29,EUR,39.1094,DE,completed
FX-000117,pi_fe58328cd4b82ff2ee58f15e,WRK-000010,2024-03-24,133.59,TRY,3.53,EUR,37.8019,DE,completed
FX-000118,pi_dab2320f9999301c2d7a2672,WRK-000010,2024-05-08,134.12,TRY,3.39,EUR,39.5185,DE,failed
FX-000119,pi_46bfc1efd757360b659b98ec,WRK-000010,2024-05-17,148.91,TRY,3.88,EUR,38.3341,DE,completed
FX-000120,pi_f06cf37ec424ebe7a1829e86,WRK-000010,2024-07-11,214.45,TRY,5.75,EUR,37.2637,DE,completed
FX-000121,pi_4becb117586c8f66ce9a2d2b,WRK-000010,2024-09-14,187.05,TRY,4.75,EUR,39.3861,DE,completed
FX-000122,pi_ef0c077c973a7790e4ad3205,WRK-000010,2024-10-05,291.78,TRY,7.45,EUR,39.1429,DE,completed
FX-000123,pi_062a9b9c279e145616842b48,WRK-000010,2024-11-17,168.2,TRY,4.5,EUR,37.3798,DE,completed
FX-000124,pi_9f81b9cb6d499e97b7ce3431,WRK-000010,2024-11-15,247.95,TRY,6.7,EUR,37.029,DE,completed
FX-000125,pi_cf658a034c4850a5b90255ae,WRK-000010,2024-11-26,134.75,TRY,3.63,EUR,37.0977,DE,completed
FX-000126,pi_e7de089a8095ec12d5682921,WRK-000010,2024-12-26,272.15,TRY,6.93,EUR,39.2903,DE,completed
FX-000127,pi_06737f341cce70783eb8c2dd,WRK-000010,2024-12-17,257.79,TRY,6.95,EUR,37.086,DE,completed
FX-000128,pi_7b80ea91708a494e53457124,WRK-000010,2024-12-01,311.82,TRY,8.05,EUR,38.7296,DE,completed
FX-000129,pi_c924e800e0616beab7553cc1,WRK-000010,2025-03-25,274.62,TRY,7.08,EUR,38.761,DE,completed
FX-000130,pi_cb14ac7f2e452e5d57117d45,WRK-000010,2025-03-19,152.38,TRY,4.12,EUR,36.9713,DE,completed
FX-000131,pi_c5ac86698f65d9c6c83a1e97,WRK-000010,2025-03-19,242.32,TRY,6.41,EUR,37.8277,DE,completed
FX-000132,pi_69a9d5a0329ccca74973e4ca,WRK-000010,2025-04-14,265.67,TRY,6.63,EUR,40.0982,DE,completed
FX-000133,pi_f08f14069ab663228d564d20,WRK-000010,2025-10-21,130.95,TRY,3.33,EUR,39.3522,DE,completed
FX-000134,pi_6f1a67c9628875299d38685f,WRK-000010,2025-10-19,220.67,TRY,5.81,EUR,37.994,DE,completed
FX-000135,pi_f1b8dc48893aaaa899e807e9,WRK-000010,2025-10-11,208.72,TRY,5.18,EUR,40.2732,DE,completed
FX-000136,pi_ebb90720fc9418d424d01292,WRK-000010,2025-11-15,198.89,TRY,5.34,EUR,37.2503,DE,completed
FX-000137,pi_80ff9ddc66ab29d04d0777fe,WRK-000010,2025-12-08,200.81,TRY,5.11,EUR,39.2916,DE,completed
FX-000138,pi_0e7afa0eaf6ed541a6cbb935,WRK-000010,2026-01-23,318.53,TRY,8.43,EUR,37.7811,DE,failed
FX-000139,pi_0168a5b40909e391f196cac2,WRK-000010,2026-01-04,261.42,TRY,6.96,EUR,37.5503,DE,completed
FX-000140,pi_eae46ec521c650f477e9272c,WRK-000010,2026-01-07,245.75,TRY,6.64,EUR,36.9841,DE,completed
FX-000141,pi_1bc07a0062560bc76bc136bc,WRK-000010,2026-02-04,236.78,TRY,5.89,EUR,40.1749,DE,completed
FX-000142,pi_860578d78de75abfe3e162f1,WRK-000012,2025-03-06,70.35,TRY,1.79,EUR,39.2588,DE,completed
FX-000143,pi_d8a4f8257a41d3fa65a59bd7,WRK-000012,2025-03-10,92.09,TRY,2.3,EUR,40.0334,DE,completed
FX-000144,pi_c354d24f92822bec21f9753b,WRK-000012,2025-03-22,73.41,TRY,1.94,EUR,37.8988,DE,completed
FX-000145,pi_4e672750bf5b74ff929e7bbe,WRK-000012,2025-04-05,100.36,TRY,2.71,EUR,37.025,DE,pending
FX-000146,pi_55938cc31daff67980a6b660,WRK-000012,2025-05-12,75.98,TRY,1.88,EUR,40.3385,DE,completed
FX-000147,pi_7fc4cf6e29137df1fc16e68b,WRK-000012,2025-06-25,118.04,TRY,3.16,EUR,37.3421,DE,completed
FX-000148,pi_47d497b3c24aa1a42ea0c7f9,WRK-000012,2025-06-12,93.12,TRY,2.4,EUR,38.7525,DE,completed
FX-000149,pi_b189d205e2246e548e8c21c8,WRK-000012,2025-07-28,73.36,TRY,1.84,EUR,39.8282,DE,completed
FX-000150,pi_585224c6e238dc8bfdbbc6e1,WRK-000012,2025-08-05,118.67,TRY,3.09,EUR,38.4211,DE,completed
FX-000151,pi_5de9c5b0d3d23221bc1cc01c,WRK-000012,2025-08-17,94.03,TRY,2.45,EUR,38.381,DE,completed
FX-000152,pi_011993a02b495dc981dc8bf2,WRK-000012,2025-09-25,89.84,TRY,2.23,EUR,40.3233,DE,completed
FX-000153,pi_b597f256331f112cb8051494,WRK-000012,2025-10-27,82.89,TRY,2.14,EUR,38.7076,DE,completed
FX-000154,pi_d7a2f717a12691ef1f59f1db,WRK-000012,2025-12-09,106.84,TRY,2.7,EUR,39.524,DE,completed
FX-000155,pi_8948ee2582102ddbe4e9c45e,WRK-000015,2024-07-11,85.98,TRY,2.24,EUR,38.4664,DE,completed
FX-000156,pi_8ea73027271e77f871b2534d,WRK-000015,2024-07-24,72.01,TRY,1.91,EUR,37.6252,DE,completed
FX-000157,pi_99f8961cae0aa69fd21da7f9,WRK-000015,2024-07-01,61.02,TRY,1.66,EUR,36.7438,DE,completed
FX-000158,pi_fec2dc4cb89143c60366af24,WRK-000015,2024-08-26,67.33,TRY,1.7,EUR,39.6795,DE,completed
FX-000159,pi_a2ad87e796cc9660573a27a8,WRK-000015,2024-08-10,69.52,TRY,1.89,EUR,36.8799,DE,completed
FX-000160,pi_4fa43698e8867bd59c0b7cd0,WRK-000015,2024-08-14,94.55,TRY,2.51,EUR,37.7209,DE,completed
FX-000161,pi_94fd22b9d180127bdf979f5a,WRK-000015,2024-09-23,82.2,TRY,2.07,EUR,39.6729,DE,completed
FX-000162,pi_23db30723dd81c261eb77073,WRK-000015,2024-09-10,75.72,TRY,1.9,EUR,39.7853,DE,completed
FX-000163,pi_bfdb9847799ad7b8651e677f,WRK-000015,2024-10-12,68.3,TRY,1.79,EUR,38.2545,DE,completed
FX-000164,pi_b7789aedb7eb66fa57f23b17,WRK-000015,2024-10-06,53.06,TRY,1.36,EUR,38.9071,DE,completed
FX-000165,pi_4300e52de0169134550e42b8,WRK-000015,2024-11-22,47.22,TRY,1.28,EUR,36.7691,DE,completed
FX-000166,pi_cfcfc9d1882135bbc7d25d13,WRK-000015,2024-11-14,87.96,TRY,2.4,EUR,36.6004,DE,completed
FX-000167,pi_7424b6a3c8c26eef8af7cb81,WRK-000015,2024-11-11,60.12,TRY,1.49,EUR,40.3555,DE,completed
FX-000168,pi_aae0aba846a84be048eb738c,WRK-000015,2024-12-21,67.93,TRY,1.79,EUR,37.9042,DE,completed
FX-000169,pi_ace186be883845a0e84d468b,WRK-000015,2024-12-27,63.69,TRY,1.63,EUR,38.9889,DE,completed
FX-000170,pi_14b7fcf9ea8954cbab8359d5,WRK-000015,2025-01-04,49.82,TRY,1.3,EUR,38.2139,DE,completed
FX-000171,pi_16231a68cd9afbfb62877f88,WRK-000015,2025-01-23,53.87,TRY,1.4,EUR,38.3974,DE,completed
FX-000172,pi_9619025f47c290ee3d715d69,WRK-000015,2025-03-19,68.55,TRY,1.81,EUR,37.8756,DE,completed
FX-000173,pi_dd22aca2b1996e50a74120ac,WRK-000015,2025-03-10,75.21,TRY,2.03,EUR,37.0516,DE,completed
FX-000174,pi_3990937e1e20c3be7c960d06,WRK-000015,2025-03-14,42.31,TRY,1.1,EUR,38.6074,DE,completed
FX-000175,pi_842c2fa0f2b412e4fe039388,WRK-000015,2025-04-04,57.34,TRY,1.52,EUR,37.8006,DE,completed
FX-000176,pi_10ae0891ca297d8c2823ff80,WRK-000015,2025-04-27,69.3,TRY,1.74,EUR,39.7681,DE,completed
FX-000177,pi_f0e79d65a980b946128469f5,WRK-000015,2025-04-22,98.76,TRY,2.53,EUR,39.0204,DE,completed
FX-000178,pi_53f5e2e90028b761ea8ed71f,WRK-000015,2025-06-13,91.53,TRY,2.41,EUR,37.9532,DE,completed
FX-000179,pi_cb07e7304e5194b3754eb33d,WRK-000015,2025-06-13,47.64,TRY,1.27,EUR,37.6428,DE,completed
FX-000180,pi_ba929b2edeb4d0fa9ae06aad,WRK-000015,2025-07-11,67.34,TRY,1.67,EUR,40.4062,DE,completed
FX-000181,pi_ce346703190bf61324a17c9a,WRK-000015,2025-09-11,92.33,TRY,2.46,EUR,37.5265,DE,completed
FX-000182,pi_197171fe6ebc0c096100d696,WRK-000015,2026-01-28,77.57,TRY,1.98,EUR,39.1149,DE,failed
FX-000183,pi_e95fc753191c39a46b73c046,WRK-000015,2026-02-21,87.05,TRY,2.3,EUR,37.7731,DE,completed
FX-000184,pi_c245509a08dd633ec5abf959,WRK-000015,2026-02-11,78.58,TRY,2.06,EUR,38.187,DE,completed
FX-000185,pi_d921b2a0472be870a8aa1b79,WRK-000017,2024-10-02,157.69,EUR,6233.23,TRY,39.5284,TR,completed
FX-000186,pi_16f53a3ecd226158338f1352,WRK-000017,2024-11-13,144.71,EUR,5299.44,TRY,36.6211,TR,completed
FX-000187,pi_490e6c7fbce9415a6ec22cbf,WRK-000017,2024-12-22,125.88,EUR,4766.47,TRY,37.8652,TR,completed
FX-000188,pi_96a39f39e4bc9054230e9fb5,WRK-000017,2024-12-09,107.85,EUR,4271.38,TRY,39.6048,TR,pending
FX-000189,pi_c3b530efcb3d82a17f0ff228,WRK-000017,2025-02-26,175.16,EUR,6565.84,TRY,37.4848,TR,completed
FX-000190,pi_b4b32347a4c1f6278bcdc06d,WRK-000017,2025-02-25,172.38,EUR,6504.05,TRY,37.7309,TR,completed
FX-000191,pi_44875b3e0db5666b64f1ef1e,WRK-000017,2025-04-06,94.33,EUR,3608.57,TRY,38.2547,TR,completed
FX-000192,pi_daaba47a49fd0cae69e836d4,WRK-000017,2026-02-10,127.91,EUR,4940.88,TRY,38.6278,TR,completed
FX-000193,pi_f0e564bafaaea7c539e15ebb,WRK-000018,2024-09-21,97.82,TRY,2.53,EUR,38.7383,DE,completed
FX-000194,pi_111beb15df9008df55ac8936,WRK-000018,2024-10-18,113.53,TRY,3.0,EUR,37.7913,DE,completed
FX-000195,pi_a24bdd058b4d9a34f0c2bde3,WRK-000018,2024-11-24,53.76,TRY,1.35,EUR,39.9069,DE,completed
FX-000196,pi_fadf85afc684b3d62c9cdb72,WRK-000018,2024-12-05,82.86,TRY,2.16,EUR,38.4324,DE,completed
FX-000197,pi_3a5d1cd6fa2057f18562b316,WRK-000018,2025-01-10,101.25,TRY,2.52,EUR,40.25,DE,completed
FX-000198,pi_6bcacda4a5117a80994bc27a,WRK-000018,2025-01-14,72.13,TRY,1.95,EUR,37.0572,DE,completed
FX-000199,pi_86b6dc81d8dac3a1db07509a,WRK-000018,2025-02-03,91.87,TRY,2.31,EUR,39.8531,DE,pending
FX-000200,pi_f8586f04f8ca79b8f5831d33,WRK-000018,2025-02-10,113.81,TRY,3.04,EUR,37.4036,DE,completed
FX-000201,pi_894b684a27faf23a4aab9a82,WRK-000018,2025-02-27,61.3,TRY,1.52,EUR,40.3959,DE,completed
FX-000202,pi_11181a554d306f61e2b4d78b,WRK-000018,2025-03-28,70.9,TRY,1.88,EUR,37.6186,DE,completed
FX-000203,pi_05c2cac8e694aba294ea5ca6,WRK-000018,2025-03-15,63.51,TRY,1.57,EUR,40.372,DE,completed
FX-000204,pi_6fed4df6511bf20b87df68b7,WRK-000018,2025-04-17,101.04,TRY,2.58,EUR,39.1806,DE,completed
FX-000205,pi_3d0685faeffa072ece252507,WRK-000018,2025-05-06,77.73,TRY,2.1,EUR,37.0109,DE,completed
FX-000206,pi_c1443b934ead079759550e25,WRK-000018,2025-06-04,82.03,TRY,2.2,EUR,37.3355,DE,completed
