worker_id,month,rent,transport,food,insurance,total
WRK-000005,2025-04,567.58,169.76,294.68,189.5,1221.52
WRK-000005,2025-05,518.96,155.22,269.44,173.26,1116.88
WRK-000005,2025-06,565.58,169.17,293.64,188.83,1217.22
WRK-000005,2025-07,542.64,162.3,281.73,181.17,1167.84
WRK-000005,2025-08,605.93,181.24,314.59,202.3,1304.06
WRK-000005,2025-09,519.44,155.36,269.68,173.42,1117.9
WRK-000005,2025-10,591.13,176.81,306.91,197.36,1272.21
WRK-000005,2025-11,578.6,173.06,300.4,193.18,1245.24
WRK-000005,2025-12,590.5,176.62,306.58,197.15,1270.85
WRK-000005,2026-01,599.83,179.41,311.42,200.27,1290.93
WRK-000005,2026-02,527.53,157.79,273.89,176.13,1135.34
WRK-000006,2024-07,458.54,82.6,204.59,202.72,948.45
WRK-000006,2024-08,457.34,82.38,204.06,202.19,945.97
WRK-000006,2024-09,496.4,89.42,221.48,219.46,1026.76
WRK-000006,2024-10,498.31,89.76,222.33,220.3,1030.7
WRK-000006,2024-11,498.92,89.87,222.61,220.57,1031.97
WRK-000006,2024-12,463.14,83.43,206.64,204.75,957.96
WRK-000006,2025-01,464.39,83.65,207.2,205.31,960.55
WRK-000006,2025-02,461.01,83.04,205.69,203.81,953.55
WRK-000006,2025-03,446.54,80.44,199.24,197.41,923.63
WRK-000006,2025-04,486.74,87.68,217.17,215.19,1006.78
WRK-000006,2025-05,507.38,91.4,226.38,224.31,1049.47
WRK-000006,2025-06,454.54,81.88,202.81,200.95,940.18
WRK-000006,2025-07,470.5,84.75,209.93,208.01,973.19
WRK-000006,2025-08,475.64,85.68,212.22,210.28,983.82
WRK-000006,2025-09,465.4,83.83,207.65,205.75,962.63
WRK-000006,2025-10,493.69,88.93,220.27,218.26,1021.15
WRK-000006,2025-11,488.93,88.07,218.15,216.16,1011.31
WRK-000006,2025-12,458.09,82.52,204.39,202.52,947.52
WRK-000006,2026-01,444.7,80.11,198.41,196.6,919.82
WRK-000006,2026-02,455.87,82.12,203.4,201.54,942.93
WRK-000007,2024-09,442.76,81.41,217.71,204.12,946.0
WRK-000007,2024-10,420.49,77.31,206.76,193.86,898.42
WRK-000007,2024-11,417.6,76.78,205.34,192.53,892.25
WRK-000007,2024-12,435.65,80.1,214.21,200.85,930.81
WRK-000007,2025-01,422.96,77.77,207.97,195.0,903.7
WRK-000007,2025-02,427.0,78.51,209.96,196.86,912.33
WRK-000007,2025-03,400.02,73.55,196.69,184.42,854.68
WRK-000007,2025-04,417.32,76.73,205.2,192.4,891.65
WRK-000007,2025-05,444.95,81.81,218.78,205.13,950.67
WRK-000007,2025-06,427.84,78.66,210.37,197.24,914.11
WRK-000007,2025-07,456.0,83.84,224.22,210.23,974.29
WRK-000007,2025-08,400.54,73.65,196.95,184.66,855.8
WRK-000007,2025-09,436.78,80.31,214.77,201.37,933.23
WRK-000007,2025-10,452.87,83.27,222.68,208.79,967.61
WRK-000007,2025-11,444.78,81.78,218.7,205.05,950.31
WRK-000007,2025-12,440.31,80.96,216.5,203.0,940.77
WRK-000007,2026-01,416.11,76.51,204.6,191.84,889.06
WRK-000007,2026-02,455.27,83.71,223.86,209.89,972.73
WRK-000008,2024-07,375.84,122.31,215.48,250.92,964.55
WRK-000008,2024-08,392.24,127.64,224.89,261.87,1006.64
WRK-000008,2024-09,368.06,119.77,211.02,245.73,944.58
WRK-000008,2024-10,399.83,130.11,229.23,266.94,1026.11
WRK-000008,2024-11,397.65,129.4,227.98,265.48,1020.51
WRK-000008,2024-12,347.18,112.98,199.05,231.79,891.0
WRK-000008,2025-01,383.67,124.85,219.97,256.15,984.64
WRK-000008,2025-02,350.98,114.21,201.23,234.32,900.74
WRK-000008,2025-03,402.86,131.1,230.97,268.96,1033.89
WRK-000008,2025-04,382.78,124.56,219.46,255.55,982.35
WRK-000008,2025-05,361.19,117.54,207.08,241.14,926.95
WRK-000008,2025-06,389.27,126.68,223.18,259.89,999.02
WRK-000008,2025-07,379.48,123.49,217.57,253.35,973.89
WRK-000008,2025-08,378.97,123.33,217.28,253.01,972.59
WRK-000008,2025-09,367.37,119.55,210.63,245.27,942.82
WRK-000008,2025-10,367.48,119.59,210.69,245.34,943.1
WRK-000008,2025-11,380.03,123.67,217.88,253.72,975.3
WRK-000008,2025-12,398.65,129.73,228.56,266.15,1023.09
WRK-000008,2026-01,349.45,113.72,200.35,233.3,896.82
WRK-000008,2026-02,359.87,117.11,206.33,240.26,923.57
WRK-000009,2024-08,511.52,119.05,395.8,386.69,1413.06
WRK-000009,2024-09,542.35,126.23,419.66,410.0,1498.24
WRK-000009,2024-10,500.0,116.37,386.89,377.98,1381.24
WRK-000009,2024-11,496.2,115.48,383.95,375.11,1370.74
WRK-000009,2024-12,523.72,121.89,405.24,395.91,1446.76
WRK-000009,2025-01,533.06,124.06,412.47,402.98,1472.57
WRK-000009,2025-02,487.83,113.53,377.47,368.78,1347.61
WRK-000009,2025-03,469.57,109.29,363.34,354.98,1297.18
WRK-000009,2025-04,471.98,109.85,365.21,356.8,1303.84
WRK-000009,2025-05,490.91,114.25,379.86,371.12,1356.14
WRK-000009,2025-06,542.87,126.35,420.06,410.39,1499.67
WRK-000009,2025-07,544.17,126.65,421.06,411.37,1503.25
WRK-000009,2025-08,474.15,110.35,366.88,358.44,1309.82
WRK-000009,2025-09,525.08,122.2,406.29,396.94,1450.51
WRK-000009,2025-10,509.38,118.55,394.15,385.08,1407.16
WRK-000009,2025-11,481.63,112.09,372.68,364.1,1330.5
WRK-000009,2025-12,508.94,118.45,393.81,384.74,1405.94
WRK-000009,2026-01,486.44,113.21,376.4,367.74,1343.79
WRK-000009,2026-02,516.98,120.32,400.03,390.82,1428.15
WRK-000010,2024-03,608.54,152.13,369.67,208.05,1338.39
WRK-000010,2024-04,628.72,157.17,381.92,214.95,1382.76
WRK-000010,2024-05,646.72,161.67,392.86,221.11,1422.36
WRK-000010,2024-06,645.68,161.41,392.23,220.75,1420.07
WRK-000010,2024-07,690.28,172.56,419.32,236.0,1518.16
WRK-000010,2024-08,641.91,160.47,389.94,219.46,1411.78
WRK-000010,2024-09,613.06,153.26,372.41,209.6,1348.33
WRK-000010,2024-10,615.51,153.87,373.9,210.44,1353.72
WRK-000010,2024-11,632.27,158.06,384.08,216.17,1390.58
WRK-000010,2024-12,658.33,164.57,399.91,225.08,1447.89
WRK-000010,2025-01,647.2,161.79,393.15,221.27,1423.41
WRK-000010,2025-02,599.78,149.94,364.35,205.06,1319.13
WRK-000010,2025-03,630.58,157.64,383.06,215.59,1386.87
WRK-000010,2025-04,625.64,156.4,380.06,213.9,1376.0
WRK-000010,2025-05,607.76,151.93,369.19,207.79,1336.67
WRK-000010,2025-06,623.52,155.87,378.77,213.18,1371.34
WRK-000010,2025-07,655.32,163.82,398.09,224.05,1441.28
WRK-000010,2025-08,667.02,166.75,405.19,228.05,1467.01
WRK-000010,2025-09,605.59,151.39,367.87,207.05,1331.9
WRK-000010,2025-10,624.05,156.0,379.09,213.36,1372.5
WRK-000010,2025-11,672.33,168.07,408.42,229.86,1478.68
WRK-000010,2025-12,670.4,167.59,407.25,229.21,1474.45
WRK-000010,2026-01,652.03,163.0,396.09,222.92,1434.04
WRK-000010,2026-02,633.33,158.33,384.73,216.53,1392.92
WRK-000011,2024-09,510.35,125.14,287.7,165.18,1088.37
WRK-000011,2024-10,498.71,122.28,281.14,161.42,1063.55
WRK-000011,2024-11,510.47,125.17,287.77,165.22,1088.63
WRK-000011,2024-12,438.26,107.46,247.06,141.85,934.63
WRK-000011,2025-01,462.8,113.48,260.9,149.79,986.97
WRK-000011,2025-02,462.68,113.45,260.83,149.75,986.71
WRK-000011,2025-03,491.81,120.59,277.25,159.18,1048.83
WRK-000011,2025-04,467.83,114.71,263.73,151.42,997.69
WRK-000011,2025-05,453.1,111.1,255.43,146.65,966.28
WRK-000011,2025-06,486.71,119.34,274.37,157.53,1037.95
WRK-000011,2025-07,476.77,116.91,268.77,154.31,1016.76
WRK-000011,2025-08,508.46,124.68,286.64,164.57,1084.35
WRK-000011,2025-09,503.15,123.37,283.64,162.85,1073.01
WRK-000011,2025-10,477.79,117.16,269.35,154.65,1018.95
WRK-000011,2025-11,493.33,120.97,278.11,159.68,1052.09
WRK-000011,2025-12,454.72,111.5,256.34,147.18,969.74
WRK-000011,2026-01,442.49,108.5,249.44,143.22,943.65
WRK-000011,2026-02,492.91,120.86,277.87,159.54,1051.18
WRK-000012,2024-08,334.55,99.5,210.79,243.25,888.09
WRK-000012,2024-09,343.81,102.26,216.62,249.98,912.67
WRK-000012,2024-10,338.8,100.77,213.47,246.34,899.38
WRK-000012,2024-11,342.53,101.88,215.81,249.05,909.27
WRK-000012,2024-12,325.43,96.79,205.04,236.62,863.88
WRK-000012,2025-01,355.63,105.77,224.07,258.57,944.04
WRK-000012,2025-02,339.42,100.95,213.85,246.79,901.01
WRK-000012,2025-03,329.88,98.11,207.84,239.85,875.68
WRK-000012,2025-04,349.83,104.05,220.41,254.35,928.64
WRK-000012,2025-05,347.16,103.25,218.73,252.42,921.56
WRK-000012,2025-06,366.42,108.98,230.86,266.42,972.68
WRK-000012,2025-07,336.0,99.93,211.7,244.3,891.93
WRK-000012,2025-08,340.24,101.19,214.37,247.38,903.18
WRK-000012,2025-09,332.45,98.88,209.46,241.72,882.51
WRK-000012,2025-10,368.34,109.55,232.08,267.82,977.79
WRK-000012,2025-11,377.25,112.2,237.69,274.29,1001.43
WRK-000012,2025-12,374.59,111.41,236.02,272.36,994.38
WRK-000012,2026-01,356.16,105.93,224.4,258.96,945.45
WRK-000012,2026-02,354.74,105.51,223.5,257.92,941.67
WRK-000013,2024-06,589.95,182.67,276.13,319.8,1368.55
WRK-000013,2024-07,580.28,179.67,271.6,314.55,1346.1
WRK-000013,2024-08,513.67,159.05,240.43,278.45,1191.6
WRK-000013,2024-09,542.64,168.02,253.98,294.15,1258.79
WRK-000013,2024-10,577.89,178.94,270.48,313.26,1340.57
WRK-000013,2024-11,541.98,167.82,253.67,293.79,1257.26
WRK-000013,2024-12,506.4,156.8,237.02,274.5,1174.72
WRK-000013,2025-01,518.73,160.62,242.79,281.19,1203.33
WRK-000013,2025-02,560.96,173.69,262.56,304.08,1301.29
WRK-000013,2025-03,571.46,176.94,267.47,309.77,1325.64
WRK-000013,2025-04,580.68,179.8,271.79,314.77,1347.04
WRK-000013,2025-05,517.61,160.27,242.27,280.58,1200.73
WRK-000013,2025-06,540.94,167.49,253.19,293.23,1254.85
WRK-000013,2025-07,530.59,164.29,248.34,287.62,1230.84
WRK-000013,2025-08,537.3,166.37,251.48,291.25,1246.4
WRK-000013,2025-09,570.11,176.53,266.84,309.04,1322.52
WRK-000013,2025-10,553.03,171.24,258.85,299.78,1282.9
WRK-000013,2025-11,546.18,169.12,255.64,296.07,1267.01
WRK-000013,2025-12,551.71,170.83,258.23,299.07,1279.84
WRK-000013,2026-01,550.45,170.44,257.64,298.39,1276.92
WRK-000013,2026-02,544.37,168.55,254.79,295.09,1262.8
WRK-000014,2024-07,352.82,86.09,179.24,161.06,779.21
WRK-000014,2024-08,382.57,93.34,194.35,174.64,844.9
WRK-000014,2024-09,338.04,82.48,171.73,154.32,746.57
WRK-000014,2024-10,346.13,84.45,175.84,158.01,764.43
WRK-000014,2024-11,358.28,87.42,182.01,163.55,791.26
WRK-000014,2024-12,382.19,93.25,194.16,174.47,844.07
WRK-000014,2025-01,371.86,90.73,188.91,169.75,821.25
WRK-000014,2025-02,349.21,85.2,177.4,159.41,771.22
WRK-000014,2025-03,369.25,90.09,187.59,168.56,815.49
WRK-000014,2025-04,357.89,87.32,181.82,163.38,790.41
WRK-000014,2025-05,340.9,83.18,173.18,155.62,752.88
WRK-000014,2025-06,345.46,84.29,175.5,157.7,762.95
WRK-000014,2025-07,348.58,85.05,177.08,159.12,769.83
WRK-000014,2025-08,382.39,93.3,194.26,174.56,844.51
WRK-000014,2025-09,361.28,88.15,183.54,164.92,797.89
WRK-000014,2025-10,366.85,89.51,186.36,167.46,810.18
WRK-000014,2025-11,359.65,87.75,182.71,164.18,794.29
WRK-000014,2025-12,371.91,90.74,188.94,169.77,821.36
WRK-000014,2026-01,336.45,82.09,170.92,153.59,743.05
WRK-000014,2026-02,343.56,83.83,174.54,156.83,758.76
WRK-000015,2024-07,357.12,84.53,207.14,107.8,756.59
WRK-000015,2024-08,358.65,84.9,208.03,108.26,759.84
WRK-000015,2024-09,395.09,93.52,229.16,119.26,837.03
WRK-000015,2024-10,394.39,93.35,228.75,119.05,835.54
WRK-000015,2024-11,404.33,95.71,234.52,122.05,856.61
WRK-000015,2024-12,363.85,86.12,211.04,109.83,770.84
WRK-000015,2025-01,380.2,90.0,220.52,114.76,805.48
WRK-000015,2025-02,394.27,93.33,228.69,119.01,835.3
WRK-000015,2025-03,374.83,88.72,217.41,113.14,794.1
WRK-000015,2025-04,360.52,85.34,209.11,108.82,763.79
WRK-000015,2025-05,365.19,86.44,211.82,110.23,773.68
WRK-000015,2025-06,387.35,91.69,224.67,116.92,820.63
WRK-000015,2025-07,415.37,98.32,240.92,125.38,879.99
WRK-000015,2025-08,406.78,96.29,235.94,122.79,861.8
WRK-000015,2025-09,402.61,95.3,233.52,121.53,852.96
WRK-000015,2025-10,407.79,96.53,236.53,123.09,863.94
WRK-000015,2025-11,397.82,94.17,230.75,120.08,842.82
WRK-000015,2025-12,404.43,95.73,234.58,122.08,856.82
WRK-000015,2026-01,375.18,88.81,217.61,113.25,794.85
WRK-000015,2026-02,385.0,91.13,223.31,116.21,815.65
WRK-000016,2024-04,406.76,150.06,218.24,304.51,1079.57
WRK-000016,2024-05,352.43,130.02,189.09,263.84,935.38
WRK-000016,2024-06,392.52,144.81,210.6,293.85,1041.78
WRK-000016,2024-07,374.29,138.08,200.81,280.2,993.38
WRK-000016,2024-08,399.24,147.29,214.2,298.88,1059.61
WRK-000016,2024-09,357.93,132.05,192.03,267.95,949.96
WRK-000016,2024-10,408.32,150.64,219.07,305.68,1083.71
WRK-000016,2024-11,369.78,136.42,198.39,276.83,981.42
WRK-000016,2024-12,365.82,134.96,196.27,273.86,970.91
WRK-000016,2025-01,400.59,147.78,214.92,299.89,1063.18
WRK-000016,2025-02,391.51,144.44,210.05,293.1,1039.1
WRK-000016,2025-03,408.63,150.75,219.24,305.91,1084.53
WRK-000016,2025-04,410.82,151.56,220.41,307.55,1090.34
WRK-000016,2025-05,412.08,152.02,221.09,308.49,1093.68
WRK-000016,2025-06,404.99,149.41,217.29,303.19,1074.88
WRK-000016,2025-07,404.79,149.34,217.18,303.04,1074.35
WRK-000016,2025-08,355.14,131.02,190.54,265.87,942.57
WRK-000016,2025-09,359.97,132.8,193.13,269.48,955.38
WRK-000016,2025-10,407.59,150.37,218.68,305.13,1081.77
WRK-000016,2025-11,399.7,147.46,214.44,299.22,1060.82
WRK-000016,2025-12,362.86,133.86,194.68,271.64,963.04
WRK-000016,2026-01,374.25,138.07,200.79,280.17,993.28
WRK-000016,2026-02,374.01,137.98,200.66,279.99,992.64
WRK-000017,2024-06,371.05,69.68,217.49,188.85,847.07
WRK-000017,2024-07,423.86,79.59,248.44,215.73,967.62
WRK-000017,2024-08,424.93,79.79,249.07,216.27,970.06
WRK-000017,2024-09,398.09,74.75,233.34,202.61,908.79
WRK-000017,2024-10,412.64,77.48,241.87,210.01,942.0
WRK-000017,2024-11,419.86,78.84,246.1,213.69,958.49
WRK-000017,2024-12,398.44,74.82,233.55,202.79,909.6
WRK-000017,2025-01,386.91,72.65,226.79,196.92,883.27
WRK-000017,2025-02,386.31,72.54,226.44,196.62,881.91
WRK-000017,2025-03,422.06,79.25,247.39,214.81,963.51
WRK-000017,2025-04,366.3,68.78,214.71,186.43,836.22
WRK-000017,2025-05,386.63,72.6,226.62,196.78,882.63
WRK-000017,2025-06,392.2,73.65,229.89,199.61,895.35
WRK-000017,2025-07,383.01,71.92,224.5,194.93,874.36
WRK-000017,2025-08,422.89,79.41,247.88,215.23,965.41
WRK-000017,2025-09,402.55,75.59,235.95,204.88,918.97
WRK-000017,2025-10,381.48,71.63,223.6,194.16,870.87
WRK-000017,2025-11,373.09,70.06,218.68,189.88,851.71
WRK-000017,2025-12,404.81,76.01,237.28,206.03,924.13
WRK-000017,2026-01,373.48,70.13,218.91,190.08,852.6
WRK-000017,2026-02,414.36,77.81,242.88,210.89,945.94
WRK-000018,2024-09,514.45,91.67,238.14,245.32,1089.58
WRK-000018,2024-10,564.44,100.57,261.28,269.16,1195.45
WRK-000018,2024-11,521.1,92.85,241.22,248.49,1103.66
WRK-000018,2024-12,576.85,102.78,267.03,275.08,1221.74
WRK-000018,2025-01,534.06,95.16,247.22,254.67,1131.11
WRK-000018,2025-02,552.96,98.53,255.97,263.69,1171.15
WRK-000018,2025-03,552.75,98.49,255.87,263.59,1170.7
WRK-000018,2025-04,573.91,102.26,265.67,273.67,1215.51
WRK-000018,2025-05,513.01,91.41,237.48,244.64,1086.54
WRK-000018,2025-06,524.03,93.37,242.58,249.89,1109.87
WRK-000018,2025-07,531.36,94.68,245.97,253.39,1125.4
WRK-000018,2025-08,522.61,93.12,241.92,249.21,1106.86
WRK-000018,2025-09,528.28,94.13,244.54,251.91,1118.86
WRK-000018,2025-10,549.39,97.89,254.32,261.98,1163.58
WRK-000018,2025-11,540.05,96.23,249.99,257.53,1143.8
WRK-000018,2025-12,556.95,99.24,257.82,265.59,1179.6
WRK-000018,2026-01,507.35,90.4,234.86,241.93,1074.54
WRK-000018,2026-02,503.9,89.79,233.26,240.29,1067.24
WRK-000019,2024-07,409.68,143.57,244.89,299.17,1097.31
WRK-000019,2024-08,445.4,156.09,266.24,325.26,1192.99
WRK-000019,2024-09,391.27,137.12,233.89,285.73,1048.01
WRK-000019,2024-10,397.15,139.18,237.4,290.02,1063.75
WRK-000019,2024-11,397.39,139.26,237.54,290.2,1064.39
WRK-000019,2024-12,442.74,155.16,264.65,323.31,1185.86
WRK-000019,2025-01,397.64,139.35,237.7,290.38,1065.07
WRK-000019,2025-02,417.84,146.43,249.77,305.13,1119.17
WRK-000019,2025-03,433.84,152.04,259.33,316.82,1162.03
WRK-000019,2025-04,428.36,150.12,256.05,312.81,1147.34
WRK-000019,2025-05,386.41,135.42,230.98,282.18,1034.99
WRK-000019,2025-06,395.91,138.75,236.66,289.12,1060.44
WRK-000019,2025-07,396.9,139.09,237.25,289.84,1063.08
WRK-000019,2025-08,411.39,144.17,245.91,300.42,1101.89
WRK-000019,2025-09,425.69,149.19,254.46,310.87,1140.21
WRK-000019,2025-10,389.65,136.55,232.92,284.55,1043.67
WRK-000019,2025-11,389.82,136.61,233.02,284.67,1044.12
WRK-000019,2025-12,401.42,140.68,239.95,293.14,1075.19
WRK-000019,2026-01,445.87,156.26,266.52,325.6,1194.25
WRK-000019,2026-02,449.97,157.69,268.98,328.6,1205.24
WRK-000020,2024-05,594.34,117.42,335.51,351.15,1398.42
WRK-000020,2024-06,540.26,106.73,304.98,319.2,1271.17
WRK-000020,2024-07,573.45,113.29,323.72,338.81,1349.27
WRK-000020,2024-08,614.6,121.42,346.95,363.13,1446.1
WRK-000020,2024-09,554.29,109.51,312.9,327.49,1304.19
WRK-000020,2024-10,532.8,105.26,300.77,314.79,1253.62
WRK-000020,2024-11,561.2,110.87,316.8,331.57,1320.44
WRK-000020,2024-12,554.09,109.47,312.79,327.37,1303.72
WRK-000020,2025-01,560.88,110.81,316.62,331.38,1319.69
WRK-000020,2025-02,600.53,118.64,339.01,354.81,1412.99
WRK-000020,2025-03,542.88,107.25,306.46,320.75,1277.34
WRK-000020,2025-04,580.47,114.68,327.68,342.96,1365.79
WRK-000020,2025-05,597.69,118.08,337.4,353.13,1406.3
WRK-000020,2025-06,615.23,121.55,347.31,363.49,1447.58
WRK-000020,2025-07,591.19,116.8,333.73,349.29,1391.01
WRK-000020,2025-08,611.0,120.71,344.92,360.99,1437.62
WRK-000020,2025-09,551.76,109.01,311.47,325.99,1298.23
WRK-000020,2025-10,536.76,106.04,303.01,317.13,1262.94
WRK-000020,2025-11,617.43,121.98,348.55,364.79,1452.75
WRK-000020,2025-12,613.4,121.18,346.27,362.41,1443.26
WRK-000020,2026-01,594.85,117.52,335.8,351.45,1399.62
WRK-000020,2026-02,600.61,118.66,339.05,354.86,1413.18
WRK-000021,2024-04,392.99,102.01,246.69,283.49,1025.18
WRK-000021,2024-05,420.24,109.08,263.8,303.15,1096.27
WRK-000021,2024-06,407.46,105.76,255.78,293.93,1062.93
WRK-000021,2024-07,399.37,103.66,250.7,288.1,1041.83
WRK-000021,2024-08,439.15,113.99,275.67,316.79,1145.6
WRK-000021,2024-09,421.85,109.5,264.81,304.31,1100.47
WRK-000021,2024-10,436.43,113.28,273.96,314.83,1138.5
WRK-000021,2024-11,424.14,110.09,266.25,305.96,1106.44
WRK-000021,2024-12,421.01,109.28,264.28,303.7,1098.27
WRK-000021,2025-01,403.92,104.84,253.56,291.38,1053.7
WRK-000021,2025-02,412.1,106.97,258.69,297.28,1075.04
WRK-000021,2025-03,376.09,97.62,236.08,271.3,981.09
WRK-000021,2025-04,424.69,110.23,266.59,306.36,1107.87
WRK-000021,2025-05,403.59,104.75,253.34,291.14,1052.82
WRK-000021,2025-06,405.52,105.26,254.56,292.53,1057.87
WRK-000021,2025-07,381.56,99.04,239.52,275.25,995.37
